id,name,followers,er,country,topic_of_influence,potential_reach,channel_id,subscribers,total_views,total_videos,duplicate_channel_id,channel_name
1,HaerteTest @UCqsS8fU6yVxrJr5y_CoUn3w,19.9M,-,Germany,,6M,UCqsS8fU6yVxrJr5y_CoUn3w,19600000,3389578903,1618,UCqsS8fU6yVxrJr5y_CoUn3w,HaerteTest 
2,Kinder Spielzeug Kanal @UCVEDZVtA5NUtjxSXHjtvkag,19.3M,-,Germany,,5.8M,UCVEDZVtA5NUtjxSXHjtvkag,27800000,14363870566,1207,UCVEDZVtA5NUtjxSXHjtvkag,Kinder Spielzeug Kanal 
3,Ice Cream Rolls @UCAon55hNT6ESbdQ5y1hRWTA,12.2M,-,Germany,,3.7M,UCAon55hNT6ESbdQ5y1hRWTA,12300000,1686718663,2556,UCAon55hNT6ESbdQ5y1hRWTA,Ice Cream Rolls 
4,Pamela Reif @UChVRfsT_ASBZk10o0An7Ucg,8.8M,0.10%,Germany,Fitness,2.6M,UChVRfsT_ASBZk10o0An7Ucg,10100000,1974060729,274,UChVRfsT_ASBZk10o0An7Ucg,Pamela Reif 
5,freekickerz @UCC9h3H-sGrvqd2otknZntsQ,8.7M,-,Germany,,2.6M,UCC9h3H-sGrvqd2otknZntsQ,8570000,2441097997,1658,UCC9h3H-sGrvqd2otknZntsQ,freekickerz 
6,Dhruv Rathee @UC-CSyyi47VX1lD9zyeABW3w,8.1M,2.50%,Germany,,2.4M,UC-CSyyi47VX1lD9zyeABW3w,24800000,3291847143,637,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee 
7,The Voice Kids @UCsaKxIA9snv1Wrh_sw1DFvg,7.3M,-,Germany,News,2.2M,UCsaKxIA9snv1Wrh_sw1DFvg,10400000,3521916244,1663,UCsaKxIA9snv1Wrh_sw1DFvg,The Voice Kids 
8,Rammstein Official @UCYp3rk70ACGXQ4gFAiMr1SQ,7.1M,-,Germany,,2.1M,UCYp3rk70ACGXQ4gFAiMr1SQ,8340000,6178516204,157,UCYp3rk70ACGXQ4gFAiMr1SQ,Rammstein Official 
9,German Spidey @germanspidey,6.6M,0.20%,Germany,,2M,germanspidey,N/A,N/A,N/A,germanspidey,German Spidey 
10,COLORS @UC2Qw1dzXDBAZPwS7zm37g8g,6.2M,-,Germany,,1.9M,UC2Qw1dzXDBAZPwS7zm37g8g,7640000,3045595265,1226,UC2Qw1dzXDBAZPwS7zm37g8g,COLORS 
11,Kontor.TV @UCb3tJ5NKw7mDxyaQ73mwbRg,6.1M,-,Germany,,1.8M,UCb3tJ5NKw7mDxyaQ73mwbRg,6280000,7045895112,2645,UCb3tJ5NKw7mDxyaQ73mwbRg,Kontor.TV 
12,TheFatRat @UCa_UMppcMsHIzb5LDx1u9zQ,6.1M,1.10%,Germany,,1.8M,UCa_UMppcMsHIzb5LDx1u9zQ,6500000,2077378393,125,UCa_UMppcMsHIzb5LDx1u9zQ,TheFatRat 
13,Julien Bam @UCTXeJ33DzXI2veQpKfrvaYw,6M,-,Germany,,1.8M,UCTXeJ33DzXI2veQpKfrvaYw,6180000,1668103259,246,UCTXeJ33DzXI2veQpKfrvaYw,Julien Bam 
